	product	Num a => t a -> a
	all	Foldable t => (a -> Bool) -> t a -> Bool
	and	Foldable t => t Bool -> Bool
	any	Foldable t => (a -> Bool) -> t a -> Bool
	concat	Foldable t => t [a] -> [a]
	concatMap	Foldable t => (a -> [b]) -> t a -> [b]
	Data.Foldable.find	Foldable t => (a -> Bool) -> t a -> Maybe a
	mapM_	(Foldable t, Monad m) => (a -> m b) -> t a -> m ()
	notElem	(Foldable t, Eq a) => a -> t a -> Bool
	or	Foldable t => t Bool -> Bool
	sequence_	(Foldable t, Monad m) => t (m a) -> m ()
	Data.Foldable1.fold1	Semigroup m => t m -> m
	Data.Foldable1.foldMap1	Semigroup m => (a -> m) -> t a -> m
	Data.Foldable1.foldMap1'	Semigroup m => (a -> m) -> t a -> m
	Data.Foldable1.toNonEmpty	t a -> GHC.Base.NonEmpty a
	Data.Foldable1.maximum	Ord a => t a -> a
	Data.Foldable1.minimum	Ord a => t a -> a
	Data.Foldable1.head	t a -> a
	Data.Foldable1.last	t a -> a
	Data.Foldable1.foldrMap1	(a -> b) -> (a -> b -> b) -> t a -> b
	Data.Foldable1.foldlMap1'	(a -> b) -> (b -> a -> b) -> t a -> b
	Data.Foldable1.foldlMap1	(a -> b) -> (b -> a -> b) -> t a -> b
	Data.Foldable1.foldrMap1'	(a -> b) -> (a -> b -> b) -> t a -> b
	Data.Function.applyWhen	Bool -> (a -> a) -> a -> a
	Data.Function.fix	(a -> a) -> a
	Data.Function.on	(b -> b -> c) -> (a -> b) -> a -> a -> c
	($)	(a -> b) -> a -> b
	(.)	(b -> c) -> (a -> b) -> a -> c
	const	a -> b -> a
	flip	(a -> b -> c) -> b -> a -> c
	id	a -> a
	(<$>)	Functor f => (a -> b) -> f a -> f b
	(Data.Functor.<&>)	Functor f => f a -> (a -> b) -> f b
	Data.Functor.void	Functor f => f a -> f ()
	fmap	(a -> b) -> f a -> f b
	(<$)	a -> f b -> f a
	Data.Functor.Classes.liftEq	(a -> b -> Bool)
	Data.Functor.Classes.liftEq2	(a -> b -> Bool)
	Data.Functor.Classes.liftCompare	(a -> b -> Ordering)
	Data.Functor.Classes.liftCompare2	(a -> b -> Ordering)
	Data.Functor.Classes.liftReadsPrec	(Int -> ReadS a)
	Data.Functor.Classes.liftReadList	(Int -> ReadS a)
	Data.Functor.Classes.liftReadPrec	Text.ParserCombinators.ReadPrec.ReadPrec
	Data.Functor.Classes.liftReadListPrec	Text.ParserCombinators.ReadPrec.ReadPrec
	Data.Functor.Classes.liftReadsPrec2	(Int -> ReadS a)
	Data.Functor.Classes.liftReadList2	(Int -> ReadS a)
	Data.Functor.Classes.liftReadPrec2	Text.ParserCombinators.ReadPrec.ReadPrec
	Data.Functor.Classes.liftReadListPrec2	Text.ParserCombinators.ReadPrec.ReadPrec
	Data.Functor.Classes.liftShowsPrec	(Int -> a -> ShowS)
	Data.Functor.Classes.liftShowList	(Int -> a -> ShowS)
	Data.Functor.Classes.liftShowsPrec2	(Int -> a -> ShowS)
	Data.Functor.Classes.liftShowList2	(Int -> a -> ShowS)
	Data.Functor.Contravariant.contramap	(a' -> a) -> f a -> f a'
	(Data.Functor.Contravariant.>$)	b -> f b -> f a
	Data.IORef.atomicWriteIORef	GHC.IORef.IORef a -> a -> IO ()
	Data.IORef.modifyIORef	GHC.IORef.IORef a -> (a -> a) -> IO ()
	Data.IORef.modifyIORef'	GHC.IORef.IORef a -> (a -> a) -> IO ()
	GHC.IORef.newIORef	a -> IO (GHC.IORef.IORef a)
	GHC.IORef.readIORef	GHC.IORef.IORef a -> IO a
	GHC.IORef.writeIORef	GHC.IORef.IORef a -> a -> IO ()
	GHC.Ix.range	(a, a) -> [a]
	GHC.Ix.index	(a, a) -> a -> Int
	GHC.Ix.unsafeIndex	(a, a) -> a -> Int
	GHC.Ix.inRange	(a, a) -> a -> Bool
	GHC.Ix.rangeSize	(a, a) -> Int
	GHC.Ix.unsafeRangeSize	(a, a) -> Int
