type ghc-prim-0.10.0	GHC.Unicode.isDigit	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isHexDigit	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isLatin1	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isLower	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isLowerCase	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isOctDigit	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isPrint	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isPunctuation	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isSpace	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isSymbol	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isUpper	Char -> Bool
type ghc-prim-0.10.0	GHC.Unicode.isUpperCase	Char -> Bool
type ghc-prim-0.10.0	GHC.Read.lexLitChar	ReadS String
type ghc-prim-0.10.0	GHC.Base.ord	Char -> Int
type ghc-prim-0.10.0	GHC.Read.readLitChar	ReadS Char
type ghc-prim-0.10.0	GHC.Show.showLitChar	Char -> ShowS
type ghc-prim-0.10.0	GHC.Unicode.toLower	Char -> Char
type ghc-prim-0.10.0	GHC.Unicode.toTitle	Char -> Char
type ghc-prim-0.10.0	GHC.Unicode.toUpper	Char -> Char
ghc-prim-0.10.0	GHC.Prim.coerce	Coercible a b => a -> b
(Data.Complex.	+)	a -> a -> Data.Complex.Complex a
(Data.Complex.	Data.Complex.cis	Floating a => a -> Data.Complex.Complex a
(Data.Complex.	Data.Complex.imagPart	Data.Complex.Complex a -> a
(Data.Complex.	Data.Complex.phase	RealFloat a => Data.Complex.Complex a -> a
(Data.Complex.	Data.Complex.realPart	Data.Complex.Complex a -> a
(Data.Complex.	Data.Data.AlgConstr	Data.Data.ConIndex -> Data.Data.ConstrRep
(Data.Complex.	Data.Data.AlgRep	[Data.Data.Constr] -> Data.Data.DataRep
(Data.Complex.	Data.Data.CharConstr	Char -> Data.Data.ConstrRep
(Data.Complex.	Data.Data.CharRep	Data.Data.DataRep
(Data.Complex.	Data.Data.FloatConstr	Rational -> Data.Data.ConstrRep
(Data.Complex.	Data.Data.FloatRep	Data.Data.DataRep
(Data.Complex.	Data.Data.Infix	Data.Data.Fixity
(Data.Complex.	Data.Data.IntConstr	Integer -> Data.Data.ConstrRep
(Data.Complex.	Data.Data.IntRep	Data.Data.DataRep
(Data.Complex.	Data.Data.NoRep	Data.Data.DataRep
(Data.Complex.	Data.Data.Prefix	Data.Data.Fixity
(Data.Complex.	Data.Data.constrFields	Data.Data.Constr -> [String]
(Data.Complex.	Data.Data.constrFixity	Data.Data.Constr -> Data.Data.Fixity
(Data.Complex.	Data.Data.constrIndex	Data.Data.Constr -> Data.Data.ConIndex
(Data.Complex.	Data.Data.constrRep	Data.Data.Constr -> Data.Data.ConstrRep
(Data.Complex.	Data.Data.constrType	Data.Data.Constr -> Data.Data.DataType
(Data.Complex.	Data.Data.dataTypeName	Data.Data.DataType -> String
(Data.Complex.	Data.Data.dataTypeOf	Data.Data.Data a => a -> Data.Data.DataType
(Data.Complex.	Data.Data.dataTypeRep	Data.Data.DataType -> Data.Data.DataRep
(Data.Complex.	Data.Data.fromConstr	Data.Data.Data a => Data.Data.Constr -> a
(Data.Complex.	Data.Data.isAlgType	Data.Data.DataType -> Bool
(Data.Complex.	Data.Data.isNorepType	Data.Data.DataType -> Bool
(Data.Complex.	Data.Data.mkCharType	String -> Data.Data.DataType
(Data.Complex.	Data.Data.mkFloatType	String -> Data.Data.DataType
(Data.Complex.	Data.Data.mkIntType	String -> Data.Data.DataType
(Data.Complex.	Data.Data.mkNoRepType	String -> Data.Data.DataType
(Data.Complex.	Data.Data.showConstr	Data.Data.Constr -> String
(Data.Complex.	Data.Data.toConstr	Data.Data.Data a => a -> Data.Data.Constr
(Data.Complex.	Data.Data.tyconModule	String -> String
(Data.Complex.	Data.Data.tyconUQname	String -> String
type (Data.Type.Equality.	~:)	forall {k}. k -> k -> *
type (Data.Type.Equality.	~~:)	forall k1 k2. k1 -> k2 -> *
type (Data.Type.Equality.	Data.Proxy.Proxy	forall {k} (t :: k). Data.Proxy.Proxy t
type ghc-prim-0.10.0	GHC.Types.TyCon	*
type base-4.18.3.0	Data.Typeable.Internal.Typeable	forall k.
type base-4.18.3.0	(a	k2).
type base-4.18.3.0	(t'	k2 -> k3 -> k1) (a :: k2) (b :: k3).
type base-4.18.3.0	Data.Typeable.rnfTypeRep	Data.Typeable.TypeRep -> ()
type base-4.18.3.0	Data.Typeable.showsTypeRep	Data.Typeable.TypeRep -> ShowS
type base-4.18.3.0	Data.Typeable.Internal.Typeable	forall k.
type base-4.18.3.0	Data.Either.fromLeft	a -> Either a b -> a
type base-4.18.3.0	Data.Either.fromRight	b -> Either a b -> b
type base-4.18.3.0	Data.Either.isLeft	Either a b -> Bool
type base-4.18.3.0	Data.Either.isRight	Either a b -> Bool
type base-4.18.3.0	Data.Either.lefts	[Either a b] -> [a]
type base-4.18.3.0	Data.Either.partitionEithers	[Either a b] -> ([a], [b])
type base-4.18.3.0	Data.Either.rights	[Either a b] -> [b]
type base-4.18.3.0	Left	a -> Either a b
type base-4.18.3.0	Right	b -> Either a b
